date,rank,team,games,wins,losses,draws,win_rate,games_behind,recent_10,streak,home_record,away_record,season,recent10_wins,recent10_draws,recent10_losses,recent10_win_rate,home_wins,home_draws,home_losses,home_win_rate,away_wins,away_draws,away_losses,away_win_rate,streak_type,streak_count,games_played_ratio,remaining_games,home_away_win_diff,month,win_rate_delta_30d,rank_delta_30d,recent20_win_rate,recent30_win_rate,games_behind_5th,wins_to_5th,prev_team_avg,prev_team_runs,prev_team_hits,prev_team_hr,prev_team_rbi,prev_team_tb,prev_team_pa,prev_team_ab,prev_team_obp,prev_team_slg,prev_team_ops,prev_team_bb,prev_team_so,prev_team_era,prev_team_whip,prev_team_runs_allowed,prev_team_er,prev_team_hr_allowed,prev_team_bb_allowed,prev_team_so_pitcher,prev_team_ip,prev_team_errors,prev_team_fpct,prev_team_dp,prev_team_pb,prev_team_sb_allowed,prev_team_cs_defense,prev_team_cs_rate,prev_team_sba,prev_team_sb,prev_team_cs,prev_team_sb_rate,prev_team_oob,prev_team_runner_pko,prev_run_differential,prev_pythagorean_win_rate,prev_k_bb_ratio,prev_iso,prev_bb_rate,prev_top5_hitter_avg,prev_top5_hitter_hr_sum,prev_top5_hitter_rbi_sum,prev_top5_hitter_ops_avg,prev_top3_hitter_ops_avg,prev_ops_concentration,prev_top5_hitter_obp_avg,prev_top5_hitter_slg_avg,prev_top5_pitcher_era_avg,prev_top5_pitcher_whip_avg,prev_top5_pitcher_ip_sum,prev_top5_pitcher_so_sum,prev_ace_era,prev_ace_era_gap,avg3yr_pythagorean_win_rate,trend_pythagorean_win_rate,avg3yr_run_differential,trend_run_differential,avg3yr_team_era,trend_team_era,avg3yr_top5_pitcher_era_avg,trend_top5_pitcher_era_avg,avg3yr_k_bb_ratio,trend_k_bb_ratio,avg3yr_top5_hitter_ops_avg,trend_top5_hitter_ops_avg,avg3yr_ace_era,trend_ace_era,avg3yr_iso,trend_iso,avg3yr_ops_concentration,trend_ops_concentration,avg3yr_bb_rate,trend_bb_rate,dyn_pythagorean_win_rate,dyn_run_differential,dyn_team_era,dyn_k_bb_ratio,dyn_top5_hitter_ops_avg,dyn_ace_era,dyn_iso,dyn_ops_concentration,dyn_bb_rate,prob_raw,prob_norm,pred_rank
2026-03-29,7,LG,2,0,2,0,0.0,2.0,0승0무2패,2패,0-0-2,0-0-0,2026,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1,2,0.0138888888888888,142,0.0,3,,,,,1.0,1.0,0.278,788,1366,130,732,2013,5713,4919,0.361,0.409,0.77,604,975,3.79,1.35,584,539,91,491,1080,1279.3333333333333,92,0.983,137,7,95,23,19.5,170,121,49,71.2,49,7,204,0.6454719334719334,2.19959266802444,0.1309999999999999,0.1057237878522667,0.2935999999999999,43,372,0.7778,0.7873333333333333,1.0122567926630668,0.3807999999999999,0.3969999999999999,3.338,1.27,705.0,564,2.4,0.9380000000000002,0.603322398033369,0.0935295029990408,147.0,124.0,4.03,-0.8399999999999999,3.692,-0.7779999999999996,2.0782593295577487,0.154224047986633,0.8053333333333333,-0.0547999999999999,2.516666666666667,-0.5700000000000003,0.1256666666666666,-1.1102230246251563e-16,1.0355417861171397,-0.0658919782553415,0.1052788492990672,-0.0018744654228423,0.5949429202829055,144.95833333333334,3.974027777777778,2.0493946166472243,0.7941481481481482,2.4817129629629635,0.1239212962962962,1.0211592613099572,0.1038166430588023,0.857123151794686,0.8026362359859439,1
2026-03-29,1,KT,2,2,0,0,1.0,0.0,2승0무0패,2승,0-0-0,2-0-0,2026,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1,2,0.0138888888888888,142,-1.0,3,,,,,-1.0,0.0,0.253,648,1228,104,613,1788,5588,4845,0.337,0.369,0.706,555,1044,4.09,1.4,657,581,112,433,1067,1278.3333333333333,103,0.981,105,6,128,32,20.0,72,48,24,66.7,40,9,-9,0.4931037762769903,2.464203233256351,0.1159999999999999,0.0993199713672154,0.2786,52,277,0.7694,0.816,1.0605666753314271,0.3656,0.4038,3.926,1.346,702.6666666666667,615,3.12,0.8059999999999996,0.5043203938927193,0.0166425972909167,3.3333333333333335,28.0,4.38,-1.0200000000000005,4.028666666666667,-0.8259999999999996,2.4439103102395414,-0.0594987983463579,0.7852,-0.0456,3.08,-0.3999999999999999,0.1199999999999998,-0.022,1.0291670474396144,0.0294828307506502,0.0973140036041686,-0.0005422875859525,0.4973159439775427,3.287037037037037,4.319166666666667,2.4099671114862145,0.7742944444444445,3.0372222222222223,0.1183333333333331,1.01487306066962,0.0959624202207773,0.6756126310882787,0.6326642537490936,2
2026-03-29,1,롯데,2,2,0,0,1.0,0.0,2승0무0패,2승,0-0-0,2-0-0,2026,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1,2,0.0138888888888888,142,-1.0,3,,,,,-1.0,0.0,0.267,676,1318,75,629,1837,5682,4944,0.346,0.372,0.718,530,1030,4.75,1.49,749,676,128,560,1173,1280.0,111,0.979,117,13,104,23,18.1,119,91,28,76.5,51,2,-73,0.4489060165406487,2.094642857142857,0.1049999999999999,0.0932770151355156,0.2802,43,319,0.7752,0.7833333333333333,1.0104919160646717,0.3676,0.4075999999999999,4.258,1.4919999999999998,616.6666666666666,569,2.67,1.588,0.4834932489209291,-0.0579988645163422,-23.0,-84.0,4.65,-0.2999999999999998,4.274,-0.2360000000000006,2.0894816510683976,-0.0678810434307566,0.7912,-0.085,2.76,-0.6800000000000002,0.1156666666666666,-0.04,1.011283339515302,0.0157620082912857,0.0908557181938544,0.007602370667947,0.4767780649081384,-22.680555555555557,4.585416666666667,2.0604610725813366,0.7802111111111112,2.7216666666666667,0.1140601851851851,0.9972377375775896,0.0895938332189397,0.6696813432942473,0.627110015131711,3
2026-03-29,1,SSG,2,2,0,0,1.0,0.0,2승0무0패,2승,2-0-0,0-0-0,2026,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2,0.0138888888888888,142,1.0,3,,,,,-1.0,0.0,0.256,609,1249,127,578,1833,5517,4875,0.33,0.376,0.706,493,1159,3.63,1.3,576,517,115,510,1193,1283.3333333333333,106,0.98,139,4,110,46,29.5,176,129,47,73.3,40,3,33,0.527826521332599,2.33921568627451,0.12,0.0893601595069784,0.2708,46,253,0.7232000000000001,0.7496666666666667,1.0365966076696165,0.3438,0.3794,3.478,1.22,635.6666666666666,649,1.6,1.878,0.4871537721748522,0.0647188472750427,-21.666666666666668,91.0,4.416666666666667,-1.62,4.146666666666667,-1.2680000000000002,1.9425147836912544,0.4423902894491132,0.7840666666666668,-0.1240000000000001,2.3633333333333333,-1.2999999999999998,0.1319999999999999,-0.0269999999999999,1.0550215668662242,-0.028087056164189,0.0875478263737302,0.0061301258607946,0.4803877475613126,-21.365740740740744,4.355324074074074,1.9155354116955423,0.773176851851852,2.330509259259259,0.1301666666666665,1.0403684895486378,0.0863318843407617,0.6229001708883527,0.5833026998628884,4
2026-03-29,1,한화,2,2,0,0,1.0,0.0,2승0무0패,2승,2-0-0,0-0-0,2026,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2,0.0138888888888888,142,1.0,3,,,,,-1.0,0.0,0.266,689,1303,116,643,1933,5547,4892,0.335,0.395,0.73,439,1038,3.55,1.27,554,509,102,450,1339,1290.3333333333333,86,0.984,100,11,96,39,28.9,139,101,38,72.7,50,15,135,0.6073420270534788,2.9755555555555557,0.129,0.079141878492879,0.286,75,362,0.7956,0.8293333333333334,1.0423998659292777,0.3546,0.441,3.718,1.228,700.3333333333333,790,1.89,1.828,0.5018766555513193,0.1302807639724895,-1.3333333333333333,170.0,4.303333333333334,-1.4300000000000006,4.012,-0.9419999999999992,2.396278783676044,0.7642052620134812,0.7854,-0.0184,2.59,-0.76,0.1219999999999999,0.001,1.0391292682332325,0.0362573597867714,0.0890507109593718,-0.0138079636677662,0.4949061464464399,-1.3148148148148149,4.243564814814816,2.362997133902766,0.7744916666666667,2.554027777777778,0.1203055555555554,1.024696917285549,0.0878138955293805,0.6186150024553383,0.5792899375726167,5
2026-03-29,7,삼성,2,0,2,0,0.0,2.0,0승0무2패,2패,0-0-2,0-0-0,2026,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1,2,0.0138888888888888,142,0.0,3,,,,,1.0,1.0,0.271,775,1330,161,728,2090,5671,4899,0.353,0.427,0.78,564,1087,4.12,1.35,647,581,132,455,1048,1268.6666666666667,87,0.984,122,12,107,26,19.5,130,98,32,75.4,53,3,128,0.5892905848902215,2.303296703296703,0.1559999999999999,0.099453359195909,0.2934,113,454,0.8802,0.91,1.033855941831402,0.377,0.5032,3.764,1.2919999999999998,668.0,517,2.6,1.164,0.518786133897745,0.05507954404817,29.0,77.0,4.466666666666667,-0.5599999999999996,3.854000000000001,-0.4520000000000004,2.098434680274303,0.2487893657704978,0.8346,0.0233999999999999,2.856666666666667,-0.8300000000000001,0.1399999999999999,-0.003,0.994330888285518,0.0071674886723605,0.0933068859435735,0.0062464081690528,0.511580770926943,28.597222222222225,4.40462962962963,2.069289754159382,0.8230083333333333,2.8169907407407413,0.1380555555555554,0.9805207370593304,0.0920109569721349,0.5681899264697406,0.5320703599615804,6
2026-03-29,5,NC,2,1,1,0,0.5,1.0,1승0무1패,1패,1-0-1,0-0-0,2026,1.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,-1,1,0.0138888888888888,142,0.5,3,,,,,0.0,0.0,0.26,732,1254,128,685,1921,5570,4816,0.344,0.399,0.743,504,1090,4.82,1.5,766,680,146,621,1075,1270.0,116,0.978,119,7,80,36,31.0,250,186,64,74.4,45,14,-34,0.4773147570774466,1.7310789049919484,0.139,0.0904847396768402,0.2656,47,271,0.7572,0.8029999999999999,1.060486001056524,0.3588,0.3984,4.074,1.334,631.6666666666667,581,3.27,0.8039999999999998,0.5024205273475434,-0.0049017980862569,0.0,-6.0,4.55,-0.1799999999999997,3.951333333333333,-0.2059999999999995,1.951317333701075,-0.2670378558366768,0.7982666666666667,-0.0839999999999999,2.5866666666666664,0.7799999999999998,0.1366666666666666,-0.0149999999999998,1.0303823990783385,0.0757816105033459,0.089178380609098,0.001375828785751,0.4954424644677164,0.0,4.486805555555556,1.924215704066338,0.7871796296296297,2.5507407407407405,0.1347685185185184,1.016071532424473,0.0879397919895272,0.4993870000403189,0.46764120321963637,7
2026-03-29,5,두산,2,1,1,0,0.5,1.0,1승0무1패,1승,0-0-0,1-0-1,2026,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,1,1,0.0138888888888888,142,-0.5,3,,,,,0.0,0.0,0.262,647,1298,102,592,1898,5581,4952,0.331,0.383,0.714,469,1169,4.3,1.38,686,612,109,542,1054,1280.0,120,0.977,123,12,103,43,29.5,187,144,43,77.0,58,8,-39,0.4707677082337593,1.944649446494465,0.121,0.0840351191542734,0.2741999999999999,63,301,0.7776,0.8186666666666667,1.05281207133059,0.3536,0.4239999999999999,4.122000000000001,1.3039999999999998,653.3333333333333,524,2.81,1.3120000000000007,0.4978026941153436,-0.0558886653623998,-1.0,-80.0,4.346666666666667,-0.5200000000000005,4.032,-0.4599999999999999,1.939295861866956,0.0933673952124138,0.7842666666666666,-0.0415999999999998,2.4600000000000004,0.73,0.1289999999999999,-0.0269999999999999,1.0221729411875775,0.0986291286222563,0.0883373353723586,-0.0057536132400927,0.4908887678081861,-0.9861111111111112,4.286296296296297,1.912361197118804,0.773374074074074,2.4258333333333337,0.1272083333333332,1.0079760947821943,0.0871104279366314,0.46853200700681863,0.43874764758772244,8
2026-03-29,7,KIA,2,0,2,0,0.0,2.0,0승0무2패,2패,0-0-0,0-0-2,2026,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1,2,0.0138888888888888,142,0.0,3,,,,,1.0,1.0,0.258,668,1276,144,624,1972,5619,4944,0.335,0.399,0.734,526,1211,4.66,1.43,734,660,110,511,1058,1274.6666666666667,123,0.977,127,8,111,41,27.0,99,77,22,77.8,44,7,-66,0.4530284878880789,2.0704500978473583,0.141,0.0936109628047695,0.2755999999999999,88,308,0.8107999999999999,0.8353333333333333,1.030258181220194,0.353,0.4578,3.816,1.272,661.6666666666667,551,2.25,1.5659999999999998,0.5230296382334266,-0.1079673627343277,36.333333333333336,-165.0,4.396666666666667,0.2599999999999998,3.8053333333333335,-0.0240000000000009,1.9650790886998577,-0.016748417922586,0.8228666666666666,-0.0576,2.5799999999999996,-0.2799999999999998,0.1376666666666666,-0.017,1.029481186209513,-0.0026759505163327,0.0912679305086734,0.0025923805611357,0.5157653377024068,35.82870370370371,4.335601851851853,1.9377863235790265,0.811437962962963,2.5441666666666665,0.1357546296296296,1.0151828364010476,0.0900003203627196,0.22135792244121183,0.20728630337643889,9
2026-03-29,7,키움,2,0,2,0,0.0,2.0,0승0무2패,2패,0-0-0,0-0-2,2026,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1,2,0.0138888888888888,142,0.0,3,,,,,1.0,1.0,0.244,581,1202,104,540,1771,5508,4935,0.312,0.359,0.671,439,1221,5.39,1.57,860,760,146,550,937,1269.0,119,0.977,111,13,107,53,33.1,98,83,15,84.7,38,5,-279,0.3133802653456632,1.7036363636363636,0.1149999999999999,0.0797022512708787,0.2653999999999999,67,301,0.7565999999999999,0.7923333333333332,1.0472288307339852,0.3412,0.4154,5.1819999999999995,1.564,521.6666666666667,376,3.23,1.9519999999999995,0.3839258045874154,-0.1027494803233379,-168.66666666666666,-155.0,4.99,0.2299999999999995,4.574,0.5839999999999996,1.7883419175339117,-0.1494823486372785,0.7780666666666667,-0.0722,2.9933333333333336,-0.1299999999999999,0.1076666666666665,-0.001,1.013892306310691,0.048596269601424,0.0836472982079707,-0.0070549344106589,0.3785935017459235,-166.32407407407408,4.920694444444445,1.763503835345941,0.7672601851851852,2.95175925925926,0.1061712962962961,0.9998104687230426,0.0824855301773044,0.13802556375145272,0.1292513435523686,10
2026-03-31,8,LG,3,0,3,0,0.0,3.0,0승0무3패,3패,0-0-3,0-0-0,2026,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-1,3,0.0208333333333333,141,0.0,3,,,,,,,0.278,788,1366,130,732,2013,5713,4919,0.361,0.409,0.77,604,975,3.79,1.35,584,539,91,491,1080,1279.3333333333333,92,0.983,137,7,95,23,19.5,170,121,49,71.2,49,7,204,0.6454719334719334,2.19959266802444,0.1309999999999999,0.1057237878522667,0.2935999999999999,43,372,0.7778,0.7873333333333333,1.0122567926630668,0.3807999999999999,0.3969999999999999,3.338,1.27,705.0,564,2.4,0.9380000000000002,0.603322398033369,0.0935295029990408,147.0,124.0,4.03,-0.8399999999999999,3.692,-0.7779999999999996,2.0782593295577487,0.154224047986633,0.8053333333333333,-0.0547999999999999,2.516666666666667,-0.5700000000000003,0.1256666666666666,-1.1102230246251563e-16,1.0355417861171397,-0.0658919782553415,0.1052788492990672,-0.0018744654228423,0.5907531814076739,143.9375,3.9460416666666673,2.0349622601919624,0.7885555555555557,2.4642361111111115,0.123048611111111,1.013967998906366,0.1030855399386699,0.8592257627801101,0.8325936114232236,1
2026-03-31,1,KT,3,3,0,0,1.0,0.0,3승0무0패,3승,0-0-0,3-0-0,2026,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1,3,0.0208333333333333,141,-1.0,3,,,,,,,0.253,648,1228,104,613,1788,5588,4845,0.337,0.369,0.706,555,1044,4.09,1.4,657,581,112,433,1067,1278.3333333333333,103,0.981,105,6,128,32,20.0,72,48,24,66.7,40,9,-9,0.4931037762769903,2.464203233256351,0.1159999999999999,0.0993199713672154,0.2786,52,277,0.7694,0.816,1.0605666753314271,0.3656,0.4038,3.926,1.346,702.6666666666667,615,3.12,0.8059999999999996,0.5043203938927193,0.0166425972909167,3.3333333333333335,28.0,4.38,-1.0200000000000005,4.028666666666667,-0.8259999999999996,2.4439103102395414,-0.0594987983463579,0.7852,-0.0456,3.08,-0.3999999999999999,0.1199999999999998,-0.022,1.0291670474396144,0.0294828307506502,0.0973140036041686,-0.0005422875859525,0.4938137190199543,3.2638888888888893,4.28875,2.392995512109551,0.7688416666666668,3.0158333333333336,0.1174999999999998,1.0077260672846224,0.0952866285290817,0.6327567720087516,0.613144145322947,2
2026-03-31,3,롯데,3,2,1,0,0.667,1.0,2승0무1패,1패,0-0-0,2-0-1,2026,2.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.6666666666666666,-1,1,0.0208333333333333,141,-0.6666666666666666,3,,,,,,,0.267,676,1318,75,629,1837,5682,4944,0.346,0.372,0.718,530,1030,4.75,1.49,749,676,128,560,1173,1280.0,111,0.979,117,13,104,23,18.1,119,91,28,76.5,51,2,-73,0.4489060165406487,2.094642857142857,0.1049999999999999,0.0932770151355156,0.2802,43,319,0.7752,0.7833333333333333,1.0104919160646717,0.3676,0.4075999999999999,4.258,1.4919999999999998,616.6666666666666,569,2.67,1.588,0.4834932489209291,-0.0579988645163422,-23.0,-84.0,4.65,-0.2999999999999998,4.274,-0.2360000000000006,2.0894816510683976,-0.0678810434307566,0.7912,-0.085,2.76,-0.6800000000000002,0.1156666666666666,-0.04,1.011283339515302,0.0157620082912857,0.0908557181938544,0.007602370667947,0.4734204729017431,-22.520833333333336,4.5531250000000005,2.045950783337806,0.7747166666666667,2.7025,0.1132569444444443,0.9902149366087332,0.0889628907314824,0.6171597149715657,0.598030527216168,3
2026-03-31,3,NC,3,2,1,0,0.667,1.0,2승0무1패,1승,2-0-1,0-0-0,2026,2.0,0.0,1.0,0.6666666666666666,2.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,1,1,0.0208333333333333,141,0.6666666666666666,3,,,,,,,0.26,732,1254,128,685,1921,5570,4816,0.344,0.399,0.743,504,1090,4.82,1.5,766,680,146,621,1075,1270.0,116,0.978,119,7,80,36,31.0,250,186,64,74.4,45,14,-34,0.4773147570774466,1.7310789049919484,0.139,0.0904847396768402,0.2656,47,271,0.7572,0.8029999999999999,1.060486001056524,0.3588,0.3984,4.074,1.334,631.6666666666667,581,3.27,0.8039999999999998,0.5024205273475434,-0.0049017980862569,0.0,-6.0,4.55,-0.1799999999999997,3.951333333333333,-0.2059999999999995,1.951317333701075,-0.2670378558366768,0.7982666666666667,-0.0839999999999999,2.5866666666666664,0.7799999999999998,0.1366666666666666,-0.0149999999999998,1.0303823990783385,0.0757816105033459,0.089178380609098,0.001375828785751,0.4919534330278029,0.0,4.455208333333333,1.9106648892489695,0.7816361111111112,2.5327777777777776,0.1338194444444443,1.00891609909754,0.0873204976797417,0.5927956864460454,0.5744216744819969,4
2026-03-31,8,삼성,3,0,2,1,0.0,2.5,0승1무2패,2패,0-1-2,0-0-0,2026,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1,2,0.0208333333333333,141,0.0,3,,,,,,,0.271,775,1330,161,728,2090,5671,4899,0.353,0.427,0.78,564,1087,4.12,1.35,647,581,132,455,1048,1268.6666666666667,87,0.984,122,12,107,26,19.5,130,98,32,75.4,53,3,128,0.5892905848902215,2.303296703296703,0.1559999999999999,0.099453359195909,0.2934,113,454,0.8802,0.91,1.033855941831402,0.377,0.5032,3.764,1.2919999999999998,668.0,517,2.6,1.164,0.518786133897745,0.05507954404817,29.0,77.0,4.466666666666667,-0.5599999999999996,3.854000000000001,-0.4520000000000004,2.098434680274303,0.2487893657704978,0.8346,0.0233999999999999,2.856666666666667,-0.8300000000000001,0.1399999999999999,-0.003,0.994330888285518,0.0071674886723605,0.0933068859435735,0.0062464081690528,0.507978089441542,28.395833333333336,4.373611111111112,2.054717291101922,0.8172125000000001,2.7971527777777783,0.1370833333333332,0.9736156614462363,0.0913629924864157,0.5817672451461358,0.5637350654811787,5
2026-03-31,1,SSG,3,3,0,0,1.0,0.0,3승0무0패,3승,3-0-0,0-0-0,2026,3.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3,0.0208333333333333,141,1.0,3,,,,,,,0.256,609,1249,127,578,1833,5517,4875,0.33,0.376,0.706,493,1159,3.63,1.3,576,517,115,510,1193,1283.3333333333333,106,0.98,139,4,110,46,29.5,176,129,47,73.3,40,3,33,0.527826521332599,2.33921568627451,0.12,0.0893601595069784,0.2708,46,253,0.7232000000000001,0.7496666666666667,1.0365966076696165,0.3438,0.3794,3.478,1.22,635.6666666666666,649,1.6,1.878,0.4871537721748522,0.0647188472750427,-21.666666666666668,91.0,4.416666666666667,-1.62,4.146666666666667,-1.2680000000000002,1.9425147836912544,0.4423902894491132,0.7840666666666668,-0.1240000000000001,2.3633333333333333,-1.2999999999999998,0.1319999999999999,-0.0269999999999999,1.0550215668662242,-0.028087056164189,0.0875478263737302,0.0061301258607946,0.4770047352545428,-21.215277777777786,4.324652777777779,1.9020457256976868,0.7677319444444446,2.3140972222222222,0.1292499999999999,1.0330419508898443,0.0857239133242774,0.5803050019639296,0.5623181452902468,6
2026-03-31,3,한화,3,2,1,0,0.667,1.0,2승0무1패,1패,2-0-1,0-0-0,2026,2.0,0.0,1.0,0.6666666666666666,2.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,-1,1,0.0208333333333333,141,0.6666666666666666,3,,,,,,,0.266,689,1303,116,643,1933,5547,4892,0.335,0.395,0.73,439,1038,3.55,1.27,554,509,102,450,1339,1290.3333333333333,86,0.984,100,11,96,39,28.9,139,101,38,72.7,50,15,135,0.6073420270534788,2.9755555555555557,0.129,0.079141878492879,0.286,75,362,0.7956,0.8293333333333334,1.0423998659292777,0.3546,0.441,3.718,1.228,700.3333333333333,790,1.89,1.828,0.5018766555513193,0.1302807639724895,-1.3333333333333333,170.0,4.303333333333334,-1.4300000000000006,4.012,-0.9419999999999992,2.396278783676044,0.7642052620134812,0.7854,-0.0184,2.59,-0.76,0.1219999999999999,0.001,1.0391292682332325,0.0362573597867714,0.0890507109593718,-0.0138079636677662,0.4914208918940002,-1.3055555555555556,4.213680555555556,2.3463563090161266,0.7690375,2.5360416666666667,0.1194583333333332,1.017480741811707,0.0871954878143849,0.5517431098908205,0.5346415439820106,7
2026-03-31,6,두산,3,1,1,1,0.5,1.5,1승1무1패,1승,0-0-0,1-1-1,2026,1.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,1,1,0.0208333333333333,141,-0.3333333333333333,3,,,,,,,0.262,647,1298,102,592,1898,5581,4952,0.331,0.383,0.714,469,1169,4.3,1.38,686,612,109,542,1054,1280.0,120,0.977,123,12,103,43,29.5,187,144,43,77.0,58,8,-39,0.4707677082337593,1.944649446494465,0.121,0.0840351191542734,0.2741999999999999,63,301,0.7776,0.8186666666666667,1.05281207133059,0.3536,0.4239999999999999,4.122000000000001,1.3039999999999998,653.3333333333333,524,2.81,1.3120000000000007,0.4978026941153436,-0.0558886653623998,-1.0,-80.0,4.346666666666667,-0.5200000000000005,4.032,-0.4599999999999999,1.939295861866956,0.0933673952124138,0.7842666666666666,-0.0415999999999998,2.4600000000000004,0.73,0.1289999999999999,-0.0269999999999999,1.0221729411875775,0.0986291286222563,0.0883373353723586,-0.0057536132400927,0.4874318046546073,-0.9791666666666669,4.256111111111111,1.898893864744728,0.7679277777777778,2.4087500000000004,0.1263124999999999,1.0008776715795031,0.0864969742187678,0.3700432163816296,0.3585735335879275,8
2026-03-31,7,KIA,3,1,2,0,0.333,2.0,1승0무2패,1승,0-0-0,1-0-2,2026,1.0,0.0,2.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.3333333333333333,1,1,0.0208333333333333,141,-0.3333333333333333,3,,,,,,,0.258,668,1276,144,624,1972,5619,4944,0.335,0.399,0.734,526,1211,4.66,1.43,734,660,110,511,1058,1274.6666666666667,123,0.977,127,8,111,41,27.0,99,77,22,77.8,44,7,-66,0.4530284878880789,2.0704500978473583,0.141,0.0936109628047695,0.2755999999999999,88,308,0.8107999999999999,0.8353333333333333,1.030258181220194,0.353,0.4578,3.816,1.272,661.6666666666667,551,2.25,1.5659999999999998,0.5230296382334266,-0.1079673627343277,36.333333333333336,-165.0,4.396666666666667,0.2599999999999998,3.8053333333333335,-0.0240000000000009,1.9650790886998577,-0.016748417922586,0.8228666666666666,-0.0576,2.5799999999999996,-0.2799999999999998,0.1376666666666666,-0.017,1.029481186209513,-0.0026759505163327,0.0912679305086734,0.0025923805611357,0.512133187436897,35.57638888888889,4.305069444444445,1.9241399410186109,0.8057236111111111,2.5262499999999997,0.134798611111111,1.0080336614968148,0.0893665152897427,0.23325296385477953,0.22602316639418754,9
2026-03-31,8,키움,3,0,3,0,0.0,3.0,0승0무3패,3패,0-0-0,0-0-3,2026,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-1,3,0.0208333333333333,141,0.0,3,,,,,,,0.244,581,1202,104,540,1771,5508,4935,0.312,0.359,0.671,439,1221,5.39,1.57,860,760,146,550,937,1269.0,119,0.977,111,13,107,53,33.1,98,83,15,84.7,38,5,-279,0.3133802653456632,1.7036363636363636,0.1149999999999999,0.0797022512708787,0.2653999999999999,67,301,0.7565999999999999,0.7923333333333332,1.0472288307339852,0.3412,0.4154,5.1819999999999995,1.564,521.6666666666667,376,3.23,1.9519999999999995,0.3839258045874154,-0.1027494803233379,-168.66666666666666,-155.0,4.99,0.2299999999999995,4.574,0.5839999999999996,1.7883419175339117,-0.1494823486372785,0.7780666666666667,-0.0722,2.9933333333333336,-0.1299999999999999,0.1076666666666665,-0.001,1.013892306310691,0.048596269601424,0.0836472982079707,-0.0070549344106589,0.3759273503251776,-165.15277777777777,4.886041666666667,1.7510847942519554,0.7618569444444445,2.9309722222222225,0.1054236111111109,0.9927695499292184,0.0819046461619713,0.14088540349674739,0.1365185868201138,10
2026-04-01,8,LG,4,1,3,0,0.25,3.0,1승0무3패,1승,1-0-3,0-0-0,2026,1.0,0.0,3.0,0.25,1.0,0.0,3.0,0.25,0.0,0.0,0.0,0.0,1,1,0.0277777777777777,140,0.25,4,,,,,,,0.278,788,1366,130,732,2013,5713,4919,0.361,0.409,0.77,604,975,3.79,1.35,584,539,91,491,1080,1279.3333333333333,92,0.983,137,7,95,23,19.5,170,121,49,71.2,49,7,204,0.6454719334719334,2.19959266802444,0.1309999999999999,0.1057237878522667,0.2935999999999999,43,372,0.7778,0.7873333333333333,1.0122567926630668,0.3807999999999999,0.3969999999999999,3.338,1.27,705.0,564,2.4,0.9380000000000002,0.603322398033369,0.0935295029990408,147.0,124.0,4.03,-0.8399999999999999,3.692,-0.7779999999999996,2.0782593295577487,0.154224047986633,0.8053333333333333,-0.0547999999999999,2.516666666666667,-0.5700000000000003,0.1256666666666666,-1.1102230246251563e-16,1.0355417861171397,-0.0658919782553415,0.1052788492990672,-0.0018744654228423,0.5865634425324421,142.91666666666669,3.918055555555556,2.0205299037367004,0.7829629629629631,2.44675925925926,0.1221759259259258,1.0067767365027749,0.1023544368185375,0.8589209946046817,0.8549748079389079,1
